Somente Humano,Somente GPT 5.4
Hyacinth macaw: a project-based learning program to develop talents in Software Engineering for Artificial Intelligence,CAIN '22: Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI
A License Management System for Collaborative AI Engineering,Surfing the AI Wave in Software Engineering: Opportunities and Challenges
Researchers’ Concerns on Artificial Intelligence Ethics: Results from a Scenario-Based Survey,Application Research on Artificial Intelligence-Empowered Library Service Model
How Provenance helps Quality Assurance Activities in AI/ML Systems,Evaluation of The Generality of Multi-view Modeling Framework for ML Systems
Responsible AI Engineering: The Case of an Inclusive Image Annotation Team in a Global Technology Company,Why Large Language Models will (not) Kill Software Engineering Research
Scalable Multi-Facility Workflows for Artificial Intelligence Applications in Climate Research,"Integrating LLMs in Software Engineering Education: Motivators, Demotivators, and a Roadmap Towards a Framework for Finnish Higher Education Institutes"
"Curious, Critical Thinker, Empathetic, and Ethically Responsible: Essential Soft Skills for Data Scientists in Software Engineering",Component-based Approach to Software Engineering of Machine Learning-enabled Systems
-,The Road Toward Dependable AI Based Systems
-,Explainable AI for software engineering
-,Is ChatGPT Capable of Crafting Gamification Strategies for Software Engineering Tasks?
-,Keynote Talk: End-User Software Engineering for Actionable AI: The keys to legal compliance
