Somente Humano,Somente Consenso
Hyacinth macaw: a project-based learning program to develop talents in Software Engineering for Artificial Intelligence,CAIN '22: Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI
A License Management System for Collaborative AI Engineering,Surfing the AI Wave in Software Engineering: Opportunities and Challenges
Researchers’ Concerns on Artificial Intelligence Ethics: Results from a Scenario-Based Survey,Evaluation of The Generality of Multi-view Modeling Framework for ML Systems
How Provenance helps Quality Assurance Activities in AI/ML Systems,Why Large Language Models will (not) Kill Software Engineering Research
Responsible AI Engineering: The Case of an Inclusive Image Annotation Team in a Global Technology Company,Component-based Approach to Software Engineering of Machine Learning-enabled Systems
Scalable Multi-Facility Workflows for Artificial Intelligence Applications in Climate Research,The Road Toward Dependable AI Based Systems
"Curious, Critical Thinker, Empathetic, and Ethically Responsible: Essential Soft Skills for Data Scientists in Software Engineering",Explainable AI for software engineering
-,Is ChatGPT Capable of Crafting Gamification Strategies for Software Engineering Tasks?
-,Digital Intellectual Property Protection System Based on Artificial Intelligence Algorithm
-,Keynote Talk: End-User Software Engineering for Actionable AI: The keys to legal compliance
