ISBNs,ISSN,Título,Abstract,Autor,Ano,CI1,CI2,CI3,CI1_GEMINI,CI2_GEMINI,CI3_GEMINI
979-8-3315-0219-5,,A Holistic Framework for Evolving AI-Based Systems,"Building easily modifiable software systems is a challenge for engineers. AI-based systems add AI models and data, which change frequently. This research identifies change scenarios and their impact in a framework for modifiable AI-based systems. This holistic framework consists of three architectural views and three AI-based themes. We apply this framework to various industry cases, to elicit which factors drive the evolution.",M. Veracx,2025,True,False,False,7.0,6.0,5.0
979-8-3503-0113-7,,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,"Systems with artificial intelligence components, so-called AI-based systems, have gained considerable attention recently. However, many organizations have issues with achieving production readiness with such systems. As a means to improve certain software quality attributes and to address frequently occurring problems, design patterns represent proven solution blueprints. While new patterns for AI-based systems are emerging, existing patterns have also been adapted to this new context.The goal of this study is to provide an overview of design patterns for AI-based systems, both new and adapted ones. We want to collect and categorize patterns, and make them accessible for researchers and practitioners. To this end, we first performed a multivocal literature review (MLR) to collect design patterns used with AI-based systems. We then integrated the created pattern collection into a web-based pattern repository to make the patterns browsable and easy to find.As a result, we selected 51 resources (35 white and 16 gray ones), from which we extracted 70 unique patterns used for AI-based systems. Among these are 34 new patterns and 36 traditional ones that have been adapted to this context. Popular pattern categories include architecture (25 patterns), deployment (16), implementation (9), or security & safety (9). While some patterns with four or more mentions already seem established, the majority of patterns have only been mentioned once or twice (51 patterns). Our results in this emerging field can be used by researchers as a foundation for follow-up studies and by practitioners to discover relevant patterns for informing the design of AI-based systems.",L. Heiland; M. Hauser; J. Bogner,2023,True,True,True,7.0,7.0,5.0
978-1-6654-4470-5,,Data acquisition and the implications of machine learning in the development of a Clinical Decision Support system,"The abundance of healthcare data, with the collection of population-wide information in Electronical Medical Records, would be promising for the implementation of products using artificial intelligence and machine learning. This enables development of new advanced software applications for the clinical practice, especially for the large vendors with years long experience in developing medical software application. Nevertheless, the introduction of artificial intelligence and machine learning to the product development process makes the daily life of software engineers more challenging and brings new factors to consider during the development of a product that must meet the high standards of clinical world. This paper describes experience with the software development of a Clinical Decision Support system at Siemens Healthineers. The intention of the project is to build a software platform for the handling of patient longitudinal data and to provide supportive functionalities to the clinician, with application of Machine Learning and Artificial Intelligence methods to deliver relevant information to the user.",M. Unger,2021,False,False,False,7.0,5.0,6.0
978-1-6654-6244-0,2377-634X,Crafting an Undergraduate Course at the Intersection of Machine Learning and Software Engineering,"This is a work-in-progress innovative practice short paper. It describes exploratory efforts to craft a new undergraduate course at the juncture of Machine Learning (ML) and Software Engineering (SE). Our motivation comes from recent industry practices and challenges to adopt and deploy ML as part of software development projects.We leverage reported industry experiences by ML practitioners, research findings from academia, as well as student feedback, in order to create a new undergraduate course where ML and SE cross paths. Toward this end, we conducted an empirical study -- student surveys and interviews of ML professionals. Questionnaires helped us measure students’ interest in learning how to leverage SE topics to develop ML-based systems, and to gauge their expectations and concerns about the course. Our interviews with ML professionals helped us solicit and collect recommendations about the content of our course.In summary, our paper presents qualitative results of an empirical study launched to help us craft a new course on ML and SE. We discuss a list of reported challenges from ML professionals and explain how we match them to related academic learning objectives and course content. We also describe how student feedback including their expectations and concerns helped us in this effort. We hope that such a course will not only prepare our students for the workforce but will provide a promising example for other institutions to follow.",S. Chenoweth; P. K. Linos,2022,False,False,False,7.0,,6.0
979-8-3315-5386-9,,UML-based Modeling of Quantum Machine Learning Systems: A Software Engineering Approach,"Quantum Machine learning (QML) is the combination of computational power of quantum computing and machine learning, which forms a highly complex system design. The hybrid nature of quantum-classical interaction as well as hardware-specific constraints in the field of quantum computing, poses unique challenges in understanding and designing quantum machine learning systems. This Study presents a structured approach in designing and modeling quantum machine learning systems using widely used software engineering practices by utilizing the Unified Modeling Language (UML) diagrams. Different UML diagrams, including use case diagram, sequence diagram, and Class diagram, are incorporated in this study to capture essential components and workflows in the quantum machine learning system and their applications. A requirement engineering lifecycle diagram is also included in this study to incorporate and understand how software engineering practices are applied to quantum computing. Through various UML diagrams, this study aims to illustrate how these models enhance modularity and development planning. To ground the modeling approach, a disease prediction system is utilized as a demonstrative example in all the modelling diagrams. This work aims to provide a foundational framework that can help and assist researchers and developers to design, communicate, and evolve quantum machine learning systems effectively and with a better and clearer vision.",K. Sharma; V. M; K. K; S. G,2025,False,False,False,7.0,6.0,5.0
978-1-6654-1405-0,,Characterizing Technical Debt and Antipatterns in AI-Based Systems: A Systematic Mapping Study,"Background: With the rising popularity of Artificial Intelligence (AI), there is a growing need to build large and complex AI-based systems in a cost-effective and manageable way. Like with traditional software, Technical Debt (TD) will emerge naturally over time in these systems, therefore leading to challenges and risks if not managed appropriately. The influence of data science and the stochastic nature of AI-based systems may also lead to new types of TD or antipatterns, which are not yet fully understood by researchers and practitioners. Objective: The goal of our study is to provide a clear overview and characterization of the types of TD (both established and new ones) that appear in AI-based systems, as well as the antipatterns and related solutions that have been proposed. Method: Following the process of a systematic mapping study, 21 primary studies are identified and analyzed. Results: Our results show that (i) established TD types, variations of them, and four new TD types (data, model, configuration, and ethics debt) are present in AI-based systems, (ii) 72 antipatterns are discussed in the literature, the majority related to data and model deficiencies, and (iii) 46 solutions have been proposed, either to address specific TD types, antipatterns, or TD in general. Conclusions: Our results can support AI professionals with reasoning about and communicating aspects of TD present in their systems. Additionally, they can serve as a foundation for future research to further our understanding of TD in AI-based systems.",J. Bogner; R. Verdecchia; I. Gerostathopoulos,2021,False,False,False,7.0,7.0,6.0
979-8-4007-0591-5,,Continuous Quality Assurance and ML Pipelines under the AI Act,"More than ever, Machine Learning (ML) as a subfield of Artificial Intelligence (AI) is on the rise and is finding its way into safety-critical software applications. However, when it comes to quality assurance (QA) and trustworthiness, integrating ML models into software comes with challenges that may not be apparent at first glance. The European Union (EU) aims to tackle this problem with new regulatory requirements in the form of harmonized rules on AI (AI Act). It is a risk-based approach with extensive requirements for high-risk systems as well as for foundation models that can be used in various downstream AI systems. Reliable software engineering processes in the form of ML-enabled automated pipelines are likely to become a discerning factor for legally compliant ML systems. Our research project aims to contribute to the field by establishing an empirically grounded foundation on how to achieve trustworthy AI Act compliant ML systems. Both a literature review and an interview study are ongoing. At a later stage, concrete tools shall be developed, ideally in cooperation with an industry partner, possibly by utilizing the concept of regulatory sandboxes.CCS CONCEPTS• Software and its engineering→Software creation and management; • Social and professional topics → Computing / technology policy; • Applied computing→Law",M. Wagner,2024,True,False,True,7.0,5.0,6.0
978-1-6654-4470-5,,Lessons Learned from Educating AI Engineers,"Over the past three years we have built a practice-oriented, bachelor level, educational programme for software engineers to specialize as AI engineers. The experience with this programme and the practical assignments our students execute in industry has given us valuable insights on the profession of AI engineer. In this paper we discuss our programme and the lessons learned for industry and research.",P. Heck; G. Schouten,2021,True,True,False,6.0,5.0,5.0
978-1-6654-4470-5,,Who Needs MLOps: What Data Scientists Seek to Accomplish and How Can MLOps Help?,"Following continuous software engineering practices, there has been an increasing interest in rapid deployment of machine learning (ML) features, called MLOps. In this paper, we study the importance of MLOps in the context of data scientists' daily activities, based on a survey where we collected responses from 331 professionals from 63 different countries in ML domain, indicating on what they were working on in the last three months. Based on the results, up to 40% respondents say that they work with both models and infrastructure; the majority of the work revolves around relational and time series data; and the largest categories of problems to be solved are predictive analysis, time series data, and computer vision. The biggest perceived problems revolve around data, although there is some awareness of problems related to deploying models to production and related procedures. To hypothesise, we believe that organisations represented in the survey can be divided to three categories - (i) figuring out how to best use data; (ii) focusing on building the first models and getting them to production; and (iii) managing several models, their versions and training datasets, as well as retraining and frequent deployment of retrained models. In the results, the majority of respondents are in category (i) or (ii), focusing on data and models; however the benefits of MLOps only emerge in category (iii) when there is a need for frequent retraining and redeployment. Hence, setting up an MLOps pipeline is a natural step to take, when an organization takes the step from ML as a proof-of-concept to ML as a part of nominal activities.",S. Mäkinen; H. Skogström; E. Laaksonen; T. Mikkonen,2021,True,False,True,7.0,5.0,6.0
978-1-7281-8047-2,,Does System Based on Artificial Intelligence Need Software Engineering Method? Systematic Review,"Software engineering is the most important stage in developing a system. Software engineering is used to facilitate developers in developing systems in the form of a mobile, web, or artificial intelligence-based system. Systematic Review is a way to find data and related problems that can strengthen a person to conduct a study. In this paper. Researchers conducted a systematic review to find whether an Artificial Intelligence-based system requires Software Engineering when designing the system. The main purpose of this systematic review is to gather prior research related to developing Artificial Intelligence-based systems from design to the implementation phase and discover what methods are they common use in developing their systems and define what is the reason behind they selected method or even does not use Software Engineering methods in developing them.",I. W. Syahputri; R. Ferdiana; S. S. Kusumawardani,2020,True,False,True,7.0,6.0,5.0
